State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
California,01/01/2000,"37,401",12/25/1999,"342,787","13,844,545",2.48,,,
California,01/08/2000,"59,000",01/01/2000,"432,585","13,936,225",3.1,,,
California,01/15/2000,"50,928",01/08/2000,"402,332","13,936,225",2.89,,,
California,01/22/2000,"51,002",01/15/2000,"393,435","13,936,225",2.82,,,
California,01/29/2000,"52,703",01/22/2000,"398,192","13,936,225",2.86,,,
California,02/05/2000,"64,057",01/29/2000,"406,763","13,936,225",2.92,,,
California,02/12/2000,"58,108",02/05/2000,"390,687","13,936,225",2.8,,,
California,02/19/2000,"56,794",02/12/2000,"404,331","13,936,225",2.9,,,
California,02/26/2000,"51,206",02/19/2000,"401,377","13,936,225",2.88,,,
California,03/04/2000,"54,070",02/26/2000,"436,537","13,936,225",3.13,,,
California,03/11/2000,"51,087",03/04/2000,"427,793","13,936,225",3.07,,,
California,03/18/2000,"45,882",03/11/2000,"422,760","13,936,225",3.03,,,
California,03/25/2000,"44,001",03/18/2000,"412,797","13,936,225",2.96,,,
California,04/01/2000,"42,822",03/25/2000,"397,768","13,936,225",2.85,,,
California,04/08/2000,"43,672",04/01/2000,"383,212","14,037,846",2.73,,,
California,04/15/2000,"40,512",04/08/2000,"363,462","14,037,846",2.59,,,
California,04/22/2000,"44,142",04/15/2000,"361,012","14,037,846",2.57,,,
California,04/29/2000,"39,575",04/22/2000,"336,979","14,037,846",2.4,,,
California,05/06/2000,"48,687",04/29/2000,"345,958","14,037,846",2.46,,,
California,05/13/2000,"45,981",05/06/2000,"324,337","14,037,846",2.31,,,
California,05/20/2000,"42,299",05/13/2000,"321,668","14,037,846",2.29,,,
California,05/27/2000,"40,969",05/20/2000,"317,015","14,037,846",2.26,,,
California,06/03/2000,"40,439",05/27/2000,"291,321","14,037,846",2.08,,,
California,06/10/2000,"45,417",06/03/2000,"319,802","14,037,846",2.28,,,
California,06/17/2000,"48,443",06/10/2000,"303,961","14,037,846",2.17,,,
California,06/24/2000,"49,187",06/17/2000,"308,158","14,037,846",2.2,,,
California,07/01/2000,"47,794",06/24/2000,"303,959","14,037,846",2.17,,,
California,07/08/2000,"43,839",07/01/2000,"287,229","14,144,927",2.03,,,
California,07/15/2000,"44,895",07/08/2000,"328,825","14,144,927",2.32,,,
California,07/22/2000,"42,199",07/15/2000,"323,661","14,144,927",2.29,,,
California,07/29/2000,"41,015",07/22/2000,"304,806","14,144,927",2.15,,,
California,08/05/2000,"47,559",07/29/2000,"310,708","14,144,927",2.2,,,
California,08/12/2000,"44,693",08/05/2000,"296,718","14,144,927",2.1,,,
California,08/19/2000,"39,700",08/12/2000,"302,806","14,144,927",2.14,,,
California,08/26/2000,"39,047",08/19/2000,"301,407","14,144,927",2.13,,,
California,09/02/2000,"38,980",08/26/2000,"296,056","14,144,927",2.09,,,
California,09/09/2000,"37,458",09/02/2000,"276,274","14,144,927",1.95,,,
California,09/16/2000,"40,042",09/09/2000,"290,284","14,144,927",2.05,,,
California,09/23/2000,"40,561",09/16/2000,"285,303","14,144,927",2.02,,,
California,09/30/2000,"42,686",09/23/2000,"277,519","14,144,927",1.96,,,
California,10/07/2000,"47,599",09/30/2000,"281,030","14,267,768",1.97,,,
California,10/14/2000,"44,254",10/07/2000,"267,423","14,267,768",1.87,,,
California,10/21/2000,"46,892",10/14/2000,"291,818","14,267,768",2.05,,,
California,10/28/2000,"46,387",10/21/2000,"287,859","14,267,768",2.02,,,
California,11/04/2000,"59,070",10/28/2000,"302,837","14,267,768",2.12,,,
California,11/11/2000,"47,455",11/04/2000,"274,606","14,267,768",1.92,,,
California,11/18/2000,"61,022",11/11/2000,"334,321","14,267,768",2.34,,,
California,11/25/2000,"42,199",11/18/2000,"314,815","14,267,768",2.21,,,
California,12/02/2000,"56,285",11/25/2000,"355,359","14,267,768",2.49,,,
California,12/09/2000,"48,952",12/02/2000,"359,045","14,267,768",2.52,,,
California,12/16/2000,"48,427",12/09/2000,"365,458","14,267,768",2.56,,,
California,12/23/2000,"50,802",12/16/2000,"359,611","14,267,768",2.52,,,
California,12/30/2000,"42,608",12/23/2000,"339,424","14,267,768",2.38,,,
California,01/06/2001,"45,705",12/30/2000,"375,517","14,267,768",2.63,,,
California,01/13/2001,"57,555",01/06/2001,"403,601","14,395,600",2.8,,,
California,01/20/2001,"41,397",01/13/2001,"341,833","14,395,600",2.37,,,
California,01/27/2001,"54,944",01/20/2001,"415,878","14,395,600",2.89,,,
California,02/03/2001,"60,068",01/27/2001,"393,931","14,395,600",2.74,,,
California,02/10/2001,"61,532",02/03/2001,"389,830","14,395,600",2.71,,,
California,02/17/2001,"52,274",02/10/2001,"379,717","14,395,600",2.64,,,
California,02/24/2001,"53,428",02/17/2001,"408,761","14,395,600",2.84,,,
California,03/03/2001,"56,260",02/24/2001,"426,532","14,395,600",2.96,,,
California,03/10/2001,"58,428",03/03/2001,"443,802","14,395,600",3.08,,,
California,03/17/2001,"51,588",03/10/2001,"432,831","14,395,600",3.01,,,
California,03/24/2001,"49,170",03/17/2001,"442,727","14,395,600",3.08,,,
California,03/31/2001,"49,771",03/24/2001,"415,544","14,395,600",2.89,,,
California,04/07/2001,"52,779",03/31/2001,"421,314","14,395,600",2.93,,,
California,04/14/2001,"51,384",04/07/2001,"402,744","15,098,703",2.67,,,
California,04/21/2001,"50,354",04/14/2001,"417,473","15,098,703",2.76,,,
California,04/28/2001,"48,793",04/21/2001,"404,586","15,098,703",2.68,,,
California,05/05/2001,"55,732",04/28/2001,"413,674","15,098,703",2.74,,,
California,05/12/2001,"55,660",05/05/2001,"392,599","15,098,703",2.6,,,
California,05/19/2001,"52,091",05/12/2001,"404,851","15,098,703",2.68,,,
California,05/26/2001,"49,938",05/19/2001,"400,538","15,098,703",2.65,,,
California,06/02/2001,"44,045",05/26/2001,"390,781","15,098,703",2.59,,,
California,06/09/2001,"51,127",06/02/2001,"412,038","15,098,703",2.73,,,
California,06/16/2001,"52,389",06/09/2001,"406,897","15,098,703",2.69,,,
California,06/23/2001,"54,534",06/16/2001,"400,168","15,098,703",2.65,,,
California,06/30/2001,"53,971",06/23/2001,"420,662","15,098,703",2.79,,,
California,07/07/2001,"49,067",06/30/2001,"389,419","15,098,703",2.58,,,
California,07/14/2001,"54,885",07/07/2001,"445,721","15,213,756",2.93,,,
California,07/21/2001,"52,355",07/14/2001,"439,779","15,213,756",2.89,,,
California,07/28/2001,"48,862",07/21/2001,"427,539","15,213,756",2.81,,,
California,08/04/2001,"54,682",07/28/2001,"438,794","15,213,756",2.88,,,
California,08/11/2001,"53,561",08/04/2001,"430,855","15,213,756",2.83,,,
California,08/18/2001,"48,302",08/11/2001,"438,258","15,213,756",2.88,,,
California,08/25/2001,"47,763",08/18/2001,"428,757","15,213,756",2.82,,,
California,09/01/2001,"48,201",08/25/2001,"432,972","15,213,756",2.85,,,
California,09/08/2001,"44,692",09/01/2001,"406,686","15,213,756",2.67,,,
California,09/15/2001,"45,543",09/08/2001,"433,407","15,213,756",2.85,,,
California,09/22/2001,"54,880",09/15/2001,"422,579","15,213,756",2.78,,,
California,09/29/2001,"59,298",09/22/2001,"427,192","15,213,756",2.81,,,
California,10/06/2001,"64,455",09/29/2001,"436,252","15,213,756",2.87,,,
California,10/13/2001,"57,113",10/06/2001,"415,575","15,318,927",2.71,,,
California,10/20/2001,"67,494",10/13/2001,"461,566","15,318,927",3.01,,,
