Series ID,Year,Period,Label,Value,1-Month % Change,3-Month % Change,6-Month % Change,12-Month % Change
CUSR0000SA0,2019,M01,2019 Jan,252.441,0.0,-0.2,0.4,1.5
CUSR0000SA0,2019,M02,2019 Feb,252.969,0.2,0.1,0.5,1.5
CUSR0000SA0,2019,M03,2019 Mar,254.147,0.5,0.7,0.8,1.9
CUSR0000SA0,2019,M04,2019 Apr,255.326,0.5,1.1,1.0,2.0
CUSR0000SA0,2019,M05,2019 May,255.371,0.0,0.9,1.0,1.8
CUSR0000SA0,2019,M06,2019 Jun,255.423,0.0,0.5,1.2,1.7
CUSR0000SA0,2019,M07,2019 Jul,255.925,0.2,0.2,1.4,1.8
CUSR0000SA0,2019,M08,2019 Aug,256.118,0.1,0.3,1.2,1.7
CUSR0000SA0,2019,M09,2019 Sep,256.532,0.2,0.4,0.9,1.7
CUSR0000SA0,2019,M10,2019 Oct,257.387,0.3,0.6,0.8,1.8
CUSR0000SA0,2019,M11,2019 Nov,257.989,0.2,0.7,1.0,2.0
CUSR0000SA0,2019,M12,2019 Dec,258.203,0.1,0.7,1.1,2.3
CUSR0000SA0,2020,M01,2020 Jan,258.687,0.2,0.5,1.1,2.5
CUSR0000SA0,2020,M02,2020 Feb,258.824,0.1,0.3,1.1,2.3
CUSR0000SA0,2020,M03,2020 Mar,257.989,-0.3,-0.1,0.6,1.5
CUSR0000SA0,2020,M04,2020 Apr,256.192,-0.7,-1.0,-0.5,0.3
CUSR0000SA0,2020,M05,2020 May,255.942,-0.1,-1.1,-0.8,0.2
CUSR0000SA0,2020,M06,2020 Jun,257.282,0.5,-0.3,-0.4,0.7
CUSR0000SA0,2020,M07,2020 Jul,258.604,0.5,0.9,0.0,1.0
CUSR0000SA0,2020,M08,2020 Aug,259.511,0.4,1.4,0.3,1.3
CUSR0000SA0,2020,M09,2020 Sep,260.149,0.2,1.1,0.8,1.4
CUSR0000SA0,2020,M10,2020 Oct,260.462,0.1,0.7,1.7,1.2
CUSR0000SA0,2020,M11,2020 Nov,260.927,0.2,0.5,1.9,1.1
CUSR0000SA0,2020,M12,2020 Dec,261.560,0.2,0.5,1.7,1.3
CUSR0000SA0,2021,M01,2021 Jan,262.231,0.3,0.7,1.4,1.4
