Series ID,Year,Period,Label,Value,1-Month % Change,3-Month % Change,6-Month % Change,12-Month % Change
CUUR0000SA0,2019,M01,2019 Jan,251.712,0.2,-0.5,-0.1,1.6
CUUR0000SA0,2019,M02,2019 Feb,252.776,0.4,0.3,0.2,1.5
CUUR0000SA0,2019,M03,2019 Mar,254.202,0.6,1.2,0.7,1.9
CUUR0000SA0,2019,M04,2019 Apr,255.548,0.5,1.5,1.1,2.0
CUUR0000SA0,2019,M05,2019 May,256.092,0.2,1.3,1.6,1.8
CUUR0000SA0,2019,M06,2019 Jun,256.143,0.0,0.8,2.0,1.6
CUUR0000SA0,2019,M07,2019 Jul,256.571,0.2,0.4,1.9,1.8
CUUR0000SA0,2019,M08,2019 Aug,256.558,0.0,0.2,1.5,1.7
CUUR0000SA0,2019,M09,2019 Sep,256.759,0.1,0.2,1.0,1.7
CUUR0000SA0,2019,M10,2019 Oct,257.346,0.2,0.3,0.7,1.8
CUUR0000SA0,2019,M11,2019 Nov,257.208,-0.1,0.3,0.4,2.1
CUUR0000SA0,2019,M12,2019 Dec,256.974,-0.1,0.1,0.3,2.3
CUUR0000SA0,2020,M01,2020 Jan,257.971,0.4,0.2,0.5,2.5
CUUR0000SA0,2020,M02,2020 Feb,258.678,0.3,0.6,0.8,2.3
CUUR0000SA0,2020,M03,2020 Mar,258.115,-0.2,0.4,0.5,1.5
CUUR0000SA0,2020,M04,2020 Apr,256.389,-0.7,-0.6,-0.4,0.3
CUUR0000SA0,2020,M05,2020 May,256.394,0.0,-0.9,-0.3,0.1
CUUR0000SA0,2020,M06,2020 Jun,257.797,0.5,-0.1,0.3,0.6
CUUR0000SA0,2020,M07,2020 Jul,259.101,0.5,1.1,0.4,1.0
CUUR0000SA0,2020,M08,2020 Aug,259.918,0.3,1.4,0.5,1.3
CUUR0000SA0,2020,M09,2020 Sep,260.280,0.1,1.0,0.8,1.4
CUUR0000SA0,2020,M10,2020 Oct,260.388,0.0,0.5,1.6,1.2
CUUR0000SA0,2020,M11,2020 Nov,260.229,-0.1,0.1,1.5,1.2
CUUR0000SA0,2020,M12,2020 Dec,260.474,0.1,0.1,1.0,1.4
CUUR0000SA0,2021,M01,2021 Jan,261.582,0.4,0.5,1.0,1.4
