Series ID,Year,Period,Label,Value,1-Month % Change,3-Month % Change,6-Month % Change,12-Month % Change
CUSR0000SA0L1E,2019,M01,2019 Jan,260.419,0.2,0.6,1.0,2.1
CUSR0000SA0L1E,2019,M02,2019 Feb,260.722,0.1,0.5,1.0,2.1
CUSR0000SA0L1E,2019,M03,2019 Mar,261.339,0.2,0.6,1.1,2.0
CUSR0000SA0L1E,2019,M04,2019 Apr,262.050,0.3,0.6,1.2,2.1
CUSR0000SA0L1E,2019,M05,2019 May,262.384,0.1,0.6,1.1,2.0
CUSR0000SA0L1E,2019,M06,2019 Jun,263.117,0.3,0.7,1.2,2.2
CUSR0000SA0L1E,2019,M07,2019 Jul,263.616,0.2,0.6,1.2,2.2
CUSR0000SA0L1E,2019,M08,2019 Aug,264.151,0.2,0.7,1.3,2.4
CUSR0000SA0L1E,2019,M09,2019 Sep,264.603,0.2,0.6,1.2,2.3
CUSR0000SA0L1E,2019,M10,2019 Oct,265.026,0.2,0.5,1.1,2.3
CUSR0000SA0L1E,2019,M11,2019 Nov,265.427,0.2,0.5,1.2,2.3
CUSR0000SA0L1E,2019,M12,2019 Dec,265.651,0.1,0.4,1.0,2.2
CUSR0000SA0L1E,2020,M01,2020 Jan,266.306,0.2,0.5,1.0,2.3
CUSR0000SA0L1E,2020,M02,2020 Feb,266.876,0.2,0.5,1.0,2.4
CUSR0000SA0L1E,2020,M03,2020 Mar,266.820,0.0,0.4,0.8,2.1
CUSR0000SA0L1E,2020,M04,2020 Apr,265.836,-0.4,-0.2,0.3,1.4
CUSR0000SA0L1E,2020,M05,2020 May,265.637,-0.1,-0.5,0.1,1.2
CUSR0000SA0L1E,2020,M06,2020 Jun,266.282,0.2,-0.2,0.2,1.2
CUSR0000SA0L1E,2020,M07,2020 Jul,267.722,0.5,0.7,0.5,1.6
CUSR0000SA0L1E,2020,M08,2020 Aug,268.654,0.3,1.1,0.7,1.7
CUSR0000SA0L1E,2020,M09,2020 Sep,269.155,0.2,1.1,0.9,1.7
CUSR0000SA0L1E,2020,M10,2020 Oct,269.350,0.1,0.6,1.3,1.6
CUSR0000SA0L1E,2020,M11,2020 Nov,269.819,0.2,0.4,1.6,1.7
CUSR0000SA0L1E,2020,M12,2020 Dec,269.940,0.0,0.3,1.4,1.6
CUSR0000SA0L1E,2021,M01,2021 Jan,270.025,0.0,0.3,0.9,1.4
