Series ID,Year,Period,Label,Value,1-Month % Change,3-Month % Change,6-Month % Change,12-Month % Change
CUSR0000SA0L1E,2008,M01,2008 Jan,213.771,0.3,0.8,1.4,2.5
CUSR0000SA0L1E,2008,M02,2008 Feb,213.939,0.1,0.6,1.3,2.3
CUSR0000SA0L1E,2008,M03,2008 Mar,214.420,0.2,0.6,1.4,2.4
CUSR0000SA0L1E,2008,M04,2008 Apr,214.560,0.1,0.4,1.2,2.3
CUSR0000SA0L1E,2008,M05,2008 May,214.936,0.2,0.5,1.1,2.3
CUSR0000SA0L1E,2008,M06,2008 Jun,215.424,0.2,0.5,1.1,2.4
CUSR0000SA0L1E,2008,M07,2008 Jul,215.965,0.3,0.7,1.0,2.5
CUSR0000SA0L1E,2008,M08,2008 Aug,216.393,0.2,0.7,1.1,2.5
CUSR0000SA0L1E,2008,M09,2008 Sep,216.713,0.1,0.6,1.1,2.4
CUSR0000SA0L1E,2008,M10,2008 Oct,216.788,0.0,0.4,1.0,2.2
CUSR0000SA0L1E,2008,M11,2008 Nov,216.947,0.1,0.3,0.9,2.0
CUSR0000SA0L1E,2008,M12,2008 Dec,216.925,0.0,0.1,0.7,1.8
CUSR0000SA0L1E,2009,M01,2009 Jan,217.346,0.2,0.3,0.6,1.7
CUSR0000SA0L1E,2009,M02,2009 Feb,217.792,0.2,0.4,0.6,1.8
CUSR0000SA0L1E,2009,M03,2009 Mar,218.253,0.2,0.6,0.7,1.8
CUSR0000SA0L1E,2009,M04,2009 Apr,218.706,0.2,0.6,0.9,1.9
CUSR0000SA0L1E,2009,M05,2009 May,218.904,0.1,0.5,0.9,1.8
CUSR0000SA0L1E,2009,M06,2009 Jun,219.112,0.1,0.4,1.0,1.7
CUSR0000SA0L1E,2009,M07,2009 Jul,219.263,0.1,0.3,0.9,1.5
CUSR0000SA0L1E,2009,M08,2009 Aug,219.496,0.1,0.3,0.8,1.4
CUSR0000SA0L1E,2009,M09,2009 Sep,219.920,0.2,0.4,0.8,1.5
CUSR0000SA0L1E,2009,M10,2009 Oct,220.501,0.3,0.6,0.8,1.7
CUSR0000SA0L1E,2009,M11,2009 Nov,220.666,0.1,0.5,0.8,1.7
CUSR0000SA0L1E,2009,M12,2009 Dec,220.881,0.1,0.4,0.8,1.8
