Series ID,Year,Period,Label,Value,1-Month % Change,3-Month % Change,6-Month % Change,12-Month % Change
CUUR0000SA0L1E,2019,M01,2019 Jan,260.122,0.4,0.4,0.9,2.2
CUUR0000SA0L1E,2019,M02,2019 Feb,261.114,0.4,0.8,1.2,2.1
CUUR0000SA0L1E,2019,M03,2019 Mar,261.836,0.3,1.1,1.3,2.0
CUUR0000SA0L1E,2019,M04,2019 Apr,262.332,0.2,0.8,1.3,2.1
CUUR0000SA0L1E,2019,M05,2019 May,262.590,0.1,0.6,1.3,2.0
CUUR0000SA0L1E,2019,M06,2019 Jun,263.177,0.2,0.5,1.6,2.1
CUUR0000SA0L1E,2019,M07,2019 Jul,263.566,0.1,0.5,1.3,2.2
CUUR0000SA0L1E,2019,M08,2019 Aug,264.169,0.2,0.6,1.2,2.4
CUUR0000SA0L1E,2019,M09,2019 Sep,264.522,0.1,0.5,1.0,2.4
CUUR0000SA0L1E,2019,M10,2019 Oct,265.059,0.2,0.6,1.0,2.3
CUUR0000SA0L1E,2019,M11,2019 Nov,265.108,0.0,0.4,1.0,2.3
CUUR0000SA0L1E,2019,M12,2019 Dec,264.935,-0.1,0.2,0.7,2.3
CUUR0000SA0L1E,2020,M01,2020 Jan,266.004,0.4,0.4,0.9,2.3
CUUR0000SA0L1E,2020,M02,2020 Feb,267.268,0.5,0.8,1.2,2.4
CUUR0000SA0L1E,2020,M03,2020 Mar,267.312,0.0,0.9,1.1,2.1
CUUR0000SA0L1E,2020,M04,2020 Apr,266.089,-0.5,0.0,0.4,1.4
CUUR0000SA0L1E,2020,M05,2020 May,265.799,-0.1,-0.5,0.3,1.2
CUUR0000SA0L1E,2020,M06,2020 Jun,266.302,0.2,-0.4,0.5,1.2
CUUR0000SA0L1E,2020,M07,2020 Jul,267.703,0.5,0.6,0.6,1.6
CUUR0000SA0L1E,2020,M08,2020 Aug,268.756,0.4,1.1,0.6,1.7
CUUR0000SA0L1E,2020,M09,2020 Sep,269.054,0.1,1.0,0.7,1.7
CUUR0000SA0L1E,2020,M10,2020 Oct,269.328,0.1,0.6,1.2,1.6
CUUR0000SA0L1E,2020,M11,2020 Nov,269.473,0.1,0.3,1.4,1.6
CUUR0000SA0L1E,2020,M12,2020 Dec,269.226,-0.1,0.1,1.1,1.6
CUUR0000SA0L1E,2021,M01,2021 Jan,269.755,0.2,0.2,0.8,1.4
