Series ID,Year,Period,Label,Value,1-Month % Change,3-Month % Change,6-Month % Change,12-Month % Change
CUUR0000SA0L1E,2008,M01,2008 Jan,213.138,0.4,0.4,1.1,2.5
CUUR0000SA0L1E,2008,M02,2008 Feb,213.866,0.3,0.7,1.3,2.3
CUUR0000SA0L1E,2008,M03,2008 Mar,214.866,0.5,1.2,1.5,2.4
CUUR0000SA0L1E,2008,M04,2008 Apr,215.059,0.1,0.9,1.3,2.3
CUUR0000SA0L1E,2008,M05,2008 May,215.180,0.1,0.6,1.3,2.3
CUUR0000SA0L1E,2008,M06,2008 Jun,215.553,0.2,0.3,1.5,2.4
CUUR0000SA0L1E,2008,M07,2008 Jul,216.045,0.2,0.5,1.4,2.5
CUUR0000SA0L1E,2008,M08,2008 Aug,216.476,0.2,0.6,1.2,2.5
CUUR0000SA0L1E,2008,M09,2008 Sep,216.862,0.2,0.6,0.9,2.5
CUUR0000SA0L1E,2008,M10,2008 Oct,217.023,0.1,0.5,0.9,2.2
CUUR0000SA0L1E,2008,M11,2008 Nov,216.690,-0.2,0.1,0.7,2.0
CUUR0000SA0L1E,2008,M12,2008 Dec,216.100,-0.3,-0.4,0.3,1.8
CUUR0000SA0L1E,2009,M01,2009 Jan,216.719,0.3,-0.1,0.3,1.7
CUUR0000SA0L1E,2009,M02,2009 Feb,217.685,0.4,0.5,0.6,1.8
CUUR0000SA0L1E,2009,M03,2009 Mar,218.639,0.4,1.2,0.8,1.8
CUUR0000SA0L1E,2009,M04,2009 Apr,219.143,0.2,1.1,1.0,1.9
CUUR0000SA0L1E,2009,M05,2009 May,219.128,0.0,0.7,1.1,1.8
CUUR0000SA0L1E,2009,M06,2009 Jun,219.283,0.1,0.3,1.5,1.7
CUUR0000SA0L1E,2009,M07,2009 Jul,219.350,0.0,0.1,1.2,1.5
CUUR0000SA0L1E,2009,M08,2009 Aug,219.596,0.1,0.2,0.9,1.4
CUUR0000SA0L1E,2009,M09,2009 Sep,220.137,0.2,0.4,0.7,1.5
CUUR0000SA0L1E,2009,M10,2009 Oct,220.731,0.3,0.6,0.7,1.7
CUUR0000SA0L1E,2009,M11,2009 Nov,220.384,-0.2,0.4,0.6,1.7
CUUR0000SA0L1E,2009,M12,2009 Dec,220.025,-0.2,-0.1,0.3,1.8
