Series ID,Year,Period,Label,Value
LNS14000000,2019,M01,2019 Jan,4.0
LNS14000000,2019,M02,2019 Feb,3.8
LNS14000000,2019,M03,2019 Mar,3.8
LNS14000000,2019,M04,2019 Apr,3.7
LNS14000000,2019,M05,2019 May,3.7
LNS14000000,2019,M06,2019 Jun,3.6
LNS14000000,2019,M07,2019 Jul,3.6
LNS14000000,2019,M08,2019 Aug,3.7
LNS14000000,2019,M09,2019 Sep,3.5
LNS14000000,2019,M10,2019 Oct,3.6
LNS14000000,2019,M11,2019 Nov,3.6
LNS14000000,2019,M12,2019 Dec,3.6
LNS14000000,2020,M01,2020 Jan,3.5
LNS14000000,2020,M02,2020 Feb,3.5
LNS14000000,2020,M03,2020 Mar,4.4
LNS14000000,2020,M04,2020 Apr,14.8
LNS14000000,2020,M05,2020 May,13.3
LNS14000000,2020,M06,2020 Jun,11.1
LNS14000000,2020,M07,2020 Jul,10.2
LNS14000000,2020,M08,2020 Aug,8.4
LNS14000000,2020,M09,2020 Sep,7.8
LNS14000000,2020,M10,2020 Oct,6.9
LNS14000000,2020,M11,2020 Nov,6.7
LNS14000000,2020,M12,2020 Dec,6.7
LNS14000000,2021,M01,2021 Jan,6.3
LNS14000003,2019,M01,2019 Jan,3.5
LNS14000003,2019,M02,2019 Feb,3.2
LNS14000003,2019,M03,2019 Mar,3.3
LNS14000003,2019,M04,2019 Apr,3.2
LNS14000003,2019,M05,2019 May,3.3
LNS14000003,2019,M06,2019 Jun,3.3
LNS14000003,2019,M07,2019 Jul,3.3
LNS14000003,2019,M08,2019 Aug,3.4
LNS14000003,2019,M09,2019 Sep,3.2
LNS14000003,2019,M10,2019 Oct,3.3
LNS14000003,2019,M11,2019 Nov,3.3
LNS14000003,2019,M12,2019 Dec,3.1
LNS14000003,2020,M01,2020 Jan,3.0
LNS14000003,2020,M02,2020 Feb,3.0
LNS14000003,2020,M03,2020 Mar,3.9
LNS14000003,2020,M04,2020 Apr,14.1
LNS14000003,2020,M05,2020 May,12.3
LNS14000003,2020,M06,2020 Jun,10.1
LNS14000003,2020,M07,2020 Jul,9.2
LNS14000003,2020,M08,2020 Aug,7.4
LNS14000003,2020,M09,2020 Sep,7.0
LNS14000003,2020,M10,2020 Oct,6.0
LNS14000003,2020,M11,2020 Nov,5.9
LNS14000003,2020,M12,2020 Dec,6.0
LNS14000003,2021,M01,2021 Jan,5.7
LNS14000006,2019,M01,2019 Jan,6.9
LNS14000006,2019,M02,2019 Feb,7.0
LNS14000006,2019,M03,2019 Mar,6.5
LNS14000006,2019,M04,2019 Apr,6.6
LNS14000006,2019,M05,2019 May,6.1
LNS14000006,2019,M06,2019 Jun,6.0
LNS14000006,2019,M07,2019 Jul,5.6
LNS14000006,2019,M08,2019 Aug,5.2
LNS14000006,2019,M09,2019 Sep,5.4
LNS14000006,2019,M10,2019 Oct,5.6
LNS14000006,2019,M11,2019 Nov,5.7
LNS14000006,2019,M12,2019 Dec,6.2
LNS14000006,2020,M01,2020 Jan,6.1
LNS14000006,2020,M02,2020 Feb,6.0
LNS14000006,2020,M03,2020 Mar,6.8
LNS14000006,2020,M04,2020 Apr,16.7
LNS14000006,2020,M05,2020 May,16.7
LNS14000006,2020,M06,2020 Jun,15.3
LNS14000006,2020,M07,2020 Jul,14.4
LNS14000006,2020,M08,2020 Aug,12.8
LNS14000006,2020,M09,2020 Sep,12.0
LNS14000006,2020,M10,2020 Oct,10.8
LNS14000006,2020,M11,2020 Nov,10.3
LNS14000006,2020,M12,2020 Dec,9.9
LNS14000006,2021,M01,2021 Jan,9.2
LNS14000009,2019,M01,2019 Jan,4.8
LNS14000009,2019,M02,2019 Feb,4.3
LNS14000009,2019,M03,2019 Mar,4.5
LNS14000009,2019,M04,2019 Apr,4.1
LNS14000009,2019,M05,2019 May,4.1
LNS14000009,2019,M06,2019 Jun,4.3
LNS14000009,2019,M07,2019 Jul,4.4
LNS14000009,2019,M08,2019 Aug,4.2
LNS14000009,2019,M09,2019 Sep,4.0
LNS14000009,2019,M10,2019 Oct,4.2
LNS14000009,2019,M11,2019 Nov,4.3
LNS14000009,2019,M12,2019 Dec,4.3
LNS14000009,2020,M01,2020 Jan,4.3
LNS14000009,2020,M02,2020 Feb,4.4
LNS14000009,2020,M03,2020 Mar,6.0
LNS14000009,2020,M04,2020 Apr,18.9
LNS14000009,2020,M05,2020 May,17.6
LNS14000009,2020,M06,2020 Jun,14.5
LNS14000009,2020,M07,2020 Jul,12.7
LNS14000009,2020,M08,2020 Aug,10.5
LNS14000009,2020,M09,2020 Sep,10.3
LNS14000009,2020,M10,2020 Oct,8.8
LNS14000009,2020,M11,2020 Nov,8.4
LNS14000009,2020,M12,2020 Dec,9.3
LNS14000009,2021,M01,2021 Jan,8.6
LNS14000025,2019,M01,2019 Jan,3.6
LNS14000025,2019,M02,2019 Feb,3.4
LNS14000025,2019,M03,2019 Mar,3.6
LNS14000025,2019,M04,2019 Apr,3.5
LNS14000025,2019,M05,2019 May,3.4
LNS14000025,2019,M06,2019 Jun,3.3
LNS14000025,2019,M07,2019 Jul,3.4
LNS14000025,2019,M08,2019 Aug,3.4
LNS14000025,2019,M09,2019 Sep,3.3
LNS14000025,2019,M10,2019 Oct,3.3
LNS14000025,2019,M11,2019 Nov,3.2
LNS14000025,2019,M12,2019 Dec,3.1
LNS14000025,2020,M01,2020 Jan,3.1
LNS14000025,2020,M02,2020 Feb,3.2
LNS14000025,2020,M03,2020 Mar,4.1
LNS14000025,2020,M04,2020 Apr,13.1
LNS14000025,2020,M05,2020 May,11.6
LNS14000025,2020,M06,2020 Jun,10.2
LNS14000025,2020,M07,2020 Jul,9.4
LNS14000025,2020,M08,2020 Aug,8.0
LNS14000025,2020,M09,2020 Sep,7.3
LNS14000025,2020,M10,2020 Oct,6.7
LNS14000025,2020,M11,2020 Nov,6.6
LNS14000025,2020,M12,2020 Dec,6.4
LNS14000025,2021,M01,2021 Jan,6.0
LNS14000026,2019,M01,2019 Jan,3.6
LNS14000026,2019,M02,2019 Feb,3.4
LNS14000026,2019,M03,2019 Mar,3.4
LNS14000026,2019,M04,2019 Apr,3.2
LNS14000026,2019,M05,2019 May,3.3
LNS14000026,2019,M06,2019 Jun,3.3
LNS14000026,2019,M07,2019 Jul,3.3
LNS14000026,2019,M08,2019 Aug,3.3
LNS14000026,2019,M09,2019 Sep,3.0
LNS14000026,2019,M10,2019 Oct,3.2
LNS14000026,2019,M11,2019 Nov,3.3
LNS14000026,2019,M12,2019 Dec,3.3
LNS14000026,2020,M01,2020 Jan,3.2
LNS14000026,2020,M02,2020 Feb,3.1
LNS14000026,2020,M03,2020 Mar,4.0
LNS14000026,2020,M04,2020 Apr,15.5
LNS14000026,2020,M05,2020 May,13.9
LNS14000026,2020,M06,2020 Jun,11.3
LNS14000026,2020,M07,2020 Jul,10.4
LNS14000026,2020,M08,2020 Aug,8.3
LNS14000026,2020,M09,2020 Sep,7.7
LNS14000026,2020,M10,2020 Oct,6.5
LNS14000026,2020,M11,2020 Nov,6.2
LNS14000026,2020,M12,2020 Dec,6.3
LNS14000026,2021,M01,2021 Jan,6.0
LNS14032183,2019,M01,2019 Jan,3.0
LNS14032183,2019,M02,2019 Feb,3.1
LNS14032183,2019,M03,2019 Mar,3.1
LNS14032183,2019,M04,2019 Apr,2.3
LNS14032183,2019,M05,2019 May,2.5
LNS14032183,2019,M06,2019 Jun,2.2
LNS14032183,2019,M07,2019 Jul,2.8
