"States and selected areas:  Employment status of the civilian noninstitutional population,",,,,,,,,,,
"January 1976 to date, not seasonally adjusted",,,,,,,,,,
,,,,,,,,,,
FIPS Code,State and area,Period,,Civilian non-institutional population,Civilian labor force,,,,,
,,,,,Total,Percent of population,Employment,,Unemployment,
,,Year,Month,,,,Total,Percent of population,Total,Rate
,,Labor force,Labor force,,,,Labor force,,level,rate
,,,,,,,,,,
01,Alabama,1976,01,"2,605,000   ","1,479,554   ",56.8   ,"1,362,852   ",52.3   ,"116,702   ",7.9   
02,Alaska,1976,01,"232,000   ","153,109   ",66.0   ,"138,852   ",59.8   ,"14,257   ",9.3   
04,Arizona,1976,01,"1,621,000   ","959,530   ",59.2   ,"847,058   ",52.3   ,"112,472   ",11.7   
05,Arkansas,1976,01,"1,536,000   ","857,544   ",55.8   ,"781,080   ",50.9   ,"76,464   ",8.9   
06,California,1976,01,"15,621,000   ","9,686,520   ",62.0   ,"8,689,249   ",55.6   ,"997,271   ",10.3   
037,Los Angeles County,1976,01,"5,273,000   ","3,356,349   ",63.7   ,"3,030,501   ",57.5   ,"325,848   ",9.7   
08,Colorado,1976,01,"1,832,000   ","1,208,430   ",66.0   ,"1,128,988   ",61.6   ,"79,442   ",6.6   
09,Connecticut,1976,01,"2,248,000   ","1,420,938   ",63.2   ,"1,265,037   ",56.3   ,"155,901   ",11.0   
10,Delaware,1976,01,"417,000   ","260,238   ",62.4   ,"238,840   ",57.3   ,"21,398   ",8.2   
11,District of Columbia,1976,01,"520,000   ","338,071   ",65.0   ,"305,548   ",58.8   ,"32,523   ",9.6   
12,Florida,1976,01,"6,421,000   ","3,515,001   ",54.7   ,"3,144,721   ",49.0   ,"370,280   ",10.5   
13,Georgia,1976,01,"3,522,000   ","2,220,769   ",63.1   ,"2,022,293   ",57.4   ,"198,476   ",8.9   
15,Hawaii,1976,01,"583,000   ","404,312   ",69.4   ,"363,706   ",62.4   ,"40,606   ",10.0   
16,Idaho,1976,01,"580,000   ","356,227   ",61.4   ,"329,258   ",56.8   ,"26,969   ",7.6   
17,Illinois,1976,01,"8,127,000   ","5,054,880   ",62.2   ,"4,669,133   ",57.5   ,"385,747   ",7.6   
18,Indiana,1976,01,"3,789,000   ","2,373,120   ",62.6   ,"2,188,401   ",57.8   ,"184,719   ",7.8   
19,Iowa,1976,01,"2,066,000   ","1,299,429   ",62.9   ,"1,229,927   ",59.5   ,"69,502   ",5.3   
20,Kansas,1976,01,"1,635,000   ","1,047,226   ",64.1   ,"994,972   ",60.9   ,"52,254   ",5.0   
21,Kentucky,1976,01,"2,459,000   ","1,467,641   ",59.7   ,"1,367,202   ",55.6   ,"100,439   ",6.8   
22,Louisiana,1976,01,"2,672,000   ","1,474,964   ",55.2   ,"1,369,531   ",51.3   ,"105,433   ",7.1   
23,Maine,1976,01,"764,000   ","465,052   ",60.9   ,"416,650   ",54.5   ,"48,402   ",10.4   
24,Maryland,1976,01,"2,954,000   ","1,891,303   ",64.0   ,"1,749,268   ",59.2   ,"142,035   ",7.5   
25,Massachusetts,1976,01,"4,194,000   ","2,684,716   ",64.0   ,"2,372,836   ",56.6   ,"311,880   ",11.6   
26,Michigan,1976,01,"6,417,000   ","3,874,991   ",60.4   ,"3,458,436   ",53.9   ,"416,555   ",10.7   
27,Minnesota,1976,01,"2,788,000   ","1,799,380   ",64.5   ,"1,662,125   ",59.6   ,"137,255   ",7.6   
28,Mississippi,1976,01,"1,640,000   ","938,077   ",57.2   ,"868,600   ",53.0   ,"69,477   ",7.4   
29,Missouri,1976,01,"3,464,000   ","2,046,765   ",59.1   ,"1,910,116   ",55.1   ,"136,649   ",6.7   
30,Montana,1976,01,"531,000   ","319,876   ",60.2   ,"294,737   ",55.5   ,"25,139   ",7.9   
31,Nebraska,1976,01,"1,095,000   ","705,785   ",64.5   ,"674,290   ",61.6   ,"31,495   ",4.5   
32,Nevada,1976,01,"451,000   ","314,923   ",69.8   ,"281,639   ",62.4   ,"33,284   ",10.6   
33,New Hampshire,1976,01,"593,000   ","384,590   ",64.9   ,"353,609   ",59.6   ,"30,981   ",8.1   
34,New Jersey,1976,01,"5,358,000   ","3,226,465   ",60.2   ,"2,868,894   ",53.5   ,"357,571   ",11.1   
35,New Mexico,1976,01,"792,000   ","462,112   ",58.3   ,"419,686   ",53.0   ,"42,426   ",9.2   
36,New York,1976,01,"13,196,000   ","7,634,660   ",57.9   ,"6,780,218   ",51.4   ,"854,442   ",11.2   
51000,New York city,1976,01,"5,694,000   ","3,114,165   ",54.7   ,"2,757,164   ",48.4   ,"357,001   ",11.5   
37,North Carolina,1976,01,"3,898,000   ","2,535,710   ",65.1   ,"2,341,807   ",60.1   ,"193,903   ",7.6   
38,North Dakota,1976,01,"442,000   ","264,776   ",59.9   ,"253,039   ",57.2   ,"11,737   ",4.4   
39,Ohio,1976,01,"7,701,000   ","4,674,757   ",60.7   ,"4,243,071   ",55.1   ,"431,686   ",9.2   
40,Oklahoma,1976,01,"1,999,000   ","1,164,085   ",58.2   ,"1,080,279   ",54.0   ,"83,806   ",7.2   
41,Oregon,1976,01,"1,716,000   ","1,059,337   ",61.7   ,"929,956   ",54.2   ,"129,381   ",12.2   
42,Pennsylvania,1976,01,"8,774,000   ","5,024,297   ",57.3   ,"4,576,097   ",52.2   ,"448,200   ",8.9   
44,Rhode Island,1976,01,"691,000   ","431,441   ",62.4   ,"389,066   ",56.3   ,"42,375   ",9.8   
45,South Carolina,1976,01,"1,984,000   ","1,273,770   ",64.2   ,"1,161,226   ",58.5   ,"112,544   ",8.8   
46,South Dakota,1976,01,"477,000   ","298,193   ",62.5   ,"284,648   ",59.7   ,"13,545   ",4.5   
47,Tennessee,1976,01,"3,078,000   ","1,772,185   ",57.6   ,"1,650,401   ",53.6   ,"121,784   ",6.9   
48,Texas,1976,01,"8,818,000   ","5,517,872   ",62.6   ,"5,169,022   ",58.6   ,"348,850   ",6.3   
49,Utah,1976,01,"824,000   ","510,755   ",62.0   ,"474,361   ",57.6   ,"36,394   ",7.1   
50,Vermont,1976,01,"339,000   ","209,091   ",61.7   ,"187,802   ",55.4   ,"21,289   ",10.2   
51,Virginia,1976,01,"3,534,000   ","2,289,688   ",64.8   ,"2,129,197   ",60.2   ,"160,491   ",7.0   
53,Washington,1976,01,"2,598,000   ","1,555,779   ",59.9   ,"1,392,245   ",53.6   ,"163,534   ",10.5   
54,West Virginia,1976,01,"1,352,000   ","690,286   ",51.1   ,"623,167   ",46.1   ,"67,119   ",9.7   
55,Wisconsin,1976,01,"3,245,000   ","2,080,567   ",64.1   ,"1,943,141   ",59.9   ,"137,426   ",6.6   
56,Wyoming,1976,01,"270,000   ","170,210   ",63.0   ,"160,423   ",59.4   ,"9,787   ",5.7   
01,Alabama,1976,02,"2,610,000   ","1,483,434   ",56.8   ,"1,368,596   ",52.4   ,"114,838   ",7.7   
02,Alaska,1976,02,"234,000   ","154,669   ",66.1   ,"140,053   ",59.9   ,"14,616   ",9.4   
04,Arizona,1976,02,"1,626,000   ","962,783   ",59.2   ,"858,119   ",52.8   ,"104,664   ",10.9   
05,Arkansas,1976,02,"1,538,000   ","868,205   ",56.5   ,"794,436   ",51.7   ,"73,769   ",8.5   
06,California,1976,02,"15,657,000   ","9,704,574   ",62.0   ,"8,735,059   ",55.8   ,"969,515   ",10.0   
037,Los Angeles County,1976,02,"5,283,000   ","3,367,868   ",63.7   ,"3,054,035   ",57.8   ,"313,833   ",9.3   
08,Colorado,1976,02,"1,837,000   ","1,210,185   ",65.9   ,"1,133,412   ",61.7   ,"76,773   ",6.3   
09,Connecticut,1976,02,"2,251,000   ","1,415,563   ",62.9   ,"1,265,954   ",56.2   ,"149,609   ",10.6   
10,Delaware,1976,02,"418,000   ","259,251   ",62.0   ,"237,881   ",56.9   ,"21,370   ",8.2   
11,District of Columbia,1976,02,"519,000   ","339,238   ",65.4   ,"307,109   ",59.2   ,"32,129   ",9.5   
12,Florida,1976,02,"6,437,000   ","3,532,354   ",54.9   ,"3,177,608   ",49.4   ,"354,746   ",10.0   
13,Georgia,1976,02,"3,528,000   ","2,232,901   ",63.3   ,"2,034,383   ",57.7   ,"198,518   ",8.9   
15,Hawaii,1976,02,"585,000   ","404,788   ",69.2   ,"363,859   ",62.2   ,"40,929   ",10.1   
16,Idaho,1976,02,"582,000   ","358,330   ",61.6   ,"332,286   ",57.1   ,"26,044   ",7.3   
17,Illinois,1976,02,"8,136,000   ","5,056,732   ",62.2   ,"4,679,958   ",57.5   ,"376,774   ",7.5   
18,Indiana,1976,02,"3,793,000   ","2,372,450   ",62.5   ,"2,192,301   ",57.8   ,"180,149   ",7.6   
19,Iowa,1976,02,"2,069,000   ","1,307,243   ",63.2   ,"1,239,465   ",59.9   ,"67,778   ",5.2   
20,Kansas,1976,02,"1,637,000   ","1,048,034   ",64.0   ,"998,373   ",61.0   ,"49,661   ",4.7   
21,Kentucky,1976,02,"2,465,000   ","1,468,827   ",59.6   ,"1,368,103   ",55.5   ,"100,724   ",6.9   
22,Louisiana,1976,02,"2,678,000   ","1,475,179   ",55.1   ,"1,382,372   ",51.6   ,"92,807   ",6.3   
23,Maine,1976,02,"766,000   ","464,776   ",60.7   ,"415,959   ",54.3   ,"48,817   ",10.5   
24,Maryland,1976,02,"2,958,000   ","1,876,443   ",63.4   ,"1,746,223   ",59.0   ,"130,220   ",6.9   
25,Massachusetts,1976,02,"4,198,000   ","2,680,260   ",63.8   ,"2,377,543   ",56.6   ,"302,717   ",11.3   
26,Michigan,1976,02,"6,424,000   ","3,898,596   ",60.7   ,"3,482,417   ",54.2   ,"416,179   ",10.7   
27,Minnesota,1976,02,"2,793,000   ","1,800,337   ",64.5   ,"1,671,178   ",59.8   ,"129,159   ",7.2   
28,Mississippi,1976,02,"1,644,000   ","944,479   ",57.5   ,"878,429   ",53.4   ,"66,050   ",7.0   
29,Missouri,1976,02,"3,469,000   ","2,055,004   ",59.2   ,"1,910,048   ",55.1   ,"144,956   ",7.1   
30,Montana,1976,02,"532,000   ","320,302   ",60.2   ,"297,359   ",55.9   ,"22,943   ",7.2   
