Series ID,Year,Period,Label,Value
CUSR0000SA0,2019,M01,2019 Jan,252.441
CUSR0000SA0,2019,M02,2019 Feb,252.969
CUSR0000SA0,2019,M03,2019 Mar,254.147
CUSR0000SA0,2019,M04,2019 Apr,255.326
CUSR0000SA0,2019,M05,2019 May,255.371
CUSR0000SA0,2019,M06,2019 Jun,255.423
CUSR0000SA0,2019,M07,2019 Jul,255.925
CUSR0000SA0,2019,M08,2019 Aug,256.118
CUSR0000SA0,2019,M09,2019 Sep,256.532
CUSR0000SA0,2019,M10,2019 Oct,257.387
CUSR0000SA0,2019,M11,2019 Nov,257.989
CUSR0000SA0,2019,M12,2019 Dec,258.203
CUSR0000SA0,2020,M01,2020 Jan,258.687
CUSR0000SA0,2020,M02,2020 Feb,258.824
CUSR0000SA0,2020,M03,2020 Mar,257.989
CUSR0000SA0,2020,M04,2020 Apr,256.192
CUSR0000SA0,2020,M05,2020 May,255.942
CUSR0000SA0,2020,M06,2020 Jun,257.282
CUSR0000SA0,2020,M07,2020 Jul,258.604
CUSR0000SA0,2020,M08,2020 Aug,259.511
CUSR0000SA0,2020,M09,2020 Sep,260.149
CUSR0000SA0,2020,M10,2020 Oct,260.462
CUSR0000SA0,2020,M11,2020 Nov,260.927
CUSR0000SA0,2020,M12,2020 Dec,261.560
CUSR0000SA0,2021,M01,2021 Jan,262.231
