Series ID,Year,Period,Label,Value
CUSR0000SA0L1E,2019,M01,2019 Jan,260.419
CUSR0000SA0L1E,2019,M02,2019 Feb,260.722
CUSR0000SA0L1E,2019,M03,2019 Mar,261.339
CUSR0000SA0L1E,2019,M04,2019 Apr,262.050
CUSR0000SA0L1E,2019,M05,2019 May,262.384
CUSR0000SA0L1E,2019,M06,2019 Jun,263.117
CUSR0000SA0L1E,2019,M07,2019 Jul,263.616
CUSR0000SA0L1E,2019,M08,2019 Aug,264.151
CUSR0000SA0L1E,2019,M09,2019 Sep,264.603
CUSR0000SA0L1E,2019,M10,2019 Oct,265.026
CUSR0000SA0L1E,2019,M11,2019 Nov,265.427
CUSR0000SA0L1E,2019,M12,2019 Dec,265.651
CUSR0000SA0L1E,2020,M01,2020 Jan,266.306
CUSR0000SA0L1E,2020,M02,2020 Feb,266.876
CUSR0000SA0L1E,2020,M03,2020 Mar,266.820
CUSR0000SA0L1E,2020,M04,2020 Apr,265.836
CUSR0000SA0L1E,2020,M05,2020 May,265.637
CUSR0000SA0L1E,2020,M06,2020 Jun,266.282
CUSR0000SA0L1E,2020,M07,2020 Jul,267.722
CUSR0000SA0L1E,2020,M08,2020 Aug,268.654
CUSR0000SA0L1E,2020,M09,2020 Sep,269.155
CUSR0000SA0L1E,2020,M10,2020 Oct,269.350
CUSR0000SA0L1E,2020,M11,2020 Nov,269.819
CUSR0000SA0L1E,2020,M12,2020 Dec,269.940
CUSR0000SA0L1E,2021,M01,2021 Jan,270.025
