GeoFips,GeoName,LineCode,Description,2019
0,United States,,Employment by place of work,
0,United States,10,Total employment (number of jobs),203809500
0,United States,,By type,
0,United States,20,  Wage and salary employment,156445000
0,United States,40,  Proprietors employment,47364500
0,United States,50,    Farm proprietors employment,1787000
0,United States,60,    Nonfarm proprietors employment 2/,45577500
0,United States,,By industry,
0,United States,70,  Farm employment,2601000
0,United States,80,  Nonfarm employment,201208500
0,United States,90,    Private nonfarm employment,176472500
0,United States,100,"      Forestry, fishing, and related activities",984100
0,United States,101,        Forestry and logging,119900
0,United States,102,"        Fishing, hunting and trapping",101400
0,United States,103,        Support activities for agriculture and forestry,762800
0,United States,200,"      Mining, quarrying, and oil and gas extraction",1127100
0,United States,201,        Oil and gas extraction,507000
0,United States,202,        Mining (except oil and gas),234300
0,United States,203,        Support activities for mining,385800
0,United States,300,      Utilities,577800
0,United States,400,      Construction,11282500
0,United States,401,        Construction of buildings,2550600
0,United States,402,        Heavy and civil engineering construction,1260300
0,United States,403,        Specialty trade contractors,7471600
0,United States,500,      Manufacturing,13570100
0,United States,510,        Durable goods manufacturing,8479300
0,United States,511,          Wood product manufacturing,451400
0,United States,512,          Nonmetallic mineral product manufacturing,456500
0,United States,513,          Primary metal manufacturing,398700
0,United States,514,          Fabricated metal product manufacturing,1546600
0,United States,515,          Machinery manufacturing,1179200
0,United States,516,          Computer and electronic product manufacturing,1100600
0,United States,517,"          Electrical equipment, appliance, and component manufacturing",425000
0,United States,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",1001200
0,United States,519,          Other transportation equipment manufacturing,750200
0,United States,521,          Furniture and related product manufacturing,424700
0,United States,522,          Miscellaneous manufacturing,745200
0,United States,530,        Nondurable goods manufacturing,5090800
0,United States,531,          Food manufacturing,1726800
0,United States,532,          Beverage and tobacco product manufacturing,309900
0,United States,533,          Textile mills,114000
0,United States,534,          Textile product mills,125200
0,United States,535,          Apparel manufacturing,144400
0,United States,536,          Leather and allied product manufacturing,43300
0,United States,537,          Paper manufacturing,366500
0,United States,538,          Printing and related support activities,484900
0,United States,539,          Petroleum and coal products manufacturing,119700
0,United States,541,          Chemical manufacturing,904000
0,United States,542,          Plastics and rubber products manufacturing,752100
0,United States,600,      Wholesale trade,6516600
0,United States,700,      Retail trade,19084500
0,United States,701,        Motor vehicle and parts dealers,2280200
0,United States,702,        Furniture and home furnishings stores,545300
0,United States,703,        Electronics and appliance stores,496600
0,United States,704,        Building material and garden equipment and supplies dealers,1356900
0,United States,705,        Food and beverage stores,3230100
0,United States,706,        Health and personal care stores,1261100
